"Dependentes","Estado.Civil","Idade","Conta.Poupanca","Conta.Salario","Cheque.Sem.Fundo","Conta.Conjunta","Valor.Emprestimo","Multa","Juros","Valor.Emprestimo.Atualizado","PAGO","ID"
1,8,3,1,2,2,1,3,3,3,3,1,23981112871
1,3,1,1,1,1,1,2,2,2,2,1,1390900
1,3,3,2,1,2,1,2,2,2,2,1,1380115
1,8,1,1,1,2,1,2,1,2,2,1,1310227
1,4,2,2,1,1,1,2,1,1,1,1,1393432
1,8,3,1,1,2,1,3,3,3,3,1,16883182477
1,2,1,2,1,1,1,2,2,1,2,1,1505812
1,2,1,2,1,2,1,2,1,1,1,1,1444543
1,4,2,2,1,1,1,2,2,2,2,1,16836377671
1,2,1,2,1,2,2,3,2,2,3,1,1459372
1,8,2,1,1,1,1,2,1,1,1,1,1492108
1,2,2,2,1,1,1,2,3,3,2,1,1312147
2,2,2,2,1,1,1,3,2,3,3,1,1380124
1,4,2,2,1,1,1,2,2,2,1,1,16861332868
1,4,3,2,1,1,1,2,3,3,3,1,1320277
1,2,2,2,1,1,1,3,2,3,3,1,1369972
1,4,2,2,1,2,1,2,2,2,2,1,1369090
1,4,3,2,1,1,1,3,1,2,2,1,1413913
1,3,1,1,1,1,1,2,1,2,2,1,1419370
1,4,2,2,1,1,1,2,1,2,1,1,1340251
1,2,3,2,1,2,1,3,3,2,3,1,1507054
1,4,3,2,1,1,1,2,1,1,1,1,1313224
1,2,3,2,1,2,1,2,2,3,2,1,46969045
1,3,3,1,1,1,1,2,3,3,3,1,1379320
1,4,3,2,1,1,1,3,2,3,3,1,1323220
1,2,3,2,1,1,1,2,2,1,1,1,1373479
1,4,3,2,1,2,1,3,2,3,3,1,1371652
1,8,1,1,1,2,1,2,1,2,2,1,1419967
1,8,3,1,1,2,1,2,2,2,2,1,46964383
1,4,2,2,1,2,1,3,2,2,3,1,1503088
2,2,3,2,1,1,1,2,3,2,2,1,1373041
1,8,1,1,1,1,1,2,3,2,2,1,1368115
2,2,3,2,1,1,1,2,2,1,1,1,1410631
1,4,3,2,1,1,1,2,3,3,3,1,1381285
1,8,1,1,1,1,1,2,1,2,2,1,1420840
1,4,3,2,1,1,1,2,2,2,2,1,1329709
2,2,2,2,1,2,1,2,1,1,1,1,1489513
2,2,2,2,1,1,2,3,2,1,2,1,1510126
1,8,1,2,1,1,1,3,2,3,3,1,1320451
1,2,1,2,1,1,1,2,2,1,1,1,1375654
1,8,3,1,1,1,1,2,2,1,1,1,1340695
1,4,2,2,1,1,1,2,3,3,2,1,21646136068
2,2,2,2,1,1,1,2,3,3,3,1,1379056
2,2,3,2,1,1,1,2,1,1,1,1,16861767268
1,8,2,1,1,1,1,2,1,2,2,1,1312495
2,2,3,2,1,1,1,3,2,2,2,1,1419316
1,4,2,2,1,1,1,2,1,2,2,1,1422196
1,4,3,2,1,1,1,2,2,1,1,1,1316602
1,2,2,2,1,1,1,2,3,2,2,1,1375768
1,4,2,2,1,1,1,2,2,2,2,1,1379296
1,2,3,2,1,2,1,3,1,2,2,1,1414513
2,4,1,2,1,1,1,3,1,2,2,1,1432786
2,2,2,2,1,2,1,2,1,1,2,1,1472203
1,4,2,2,1,1,1,2,1,2,2,1,1312447
1,4,3,2,1,1,1,2,2,2,2,1,1348666
2,2,2,2,1,1,2,3,1,2,2,1,1381648
1,4,2,2,1,1,1,2,2,2,2,1,1374274
2,2,2,2,1,1,1,2,3,2,2,1,1351186
1,2,2,2,1,1,1,2,3,3,3,1,1413631
1,4,3,2,1,1,1,3,2,3,3,1,1386943
2,2,3,2,1,2,1,2,1,1,1,1,1424062
2,2,1,2,1,1,1,2,2,1,1,1,1438399
1,4,1,2,1,1,1,3,3,3,3,1,47000668
2,2,3,2,1,1,1,3,3,2,3,1,1494985
2,2,3,2,1,1,1,2,2,2,2,1,16821766471
1,2,2,2,1,2,1,2,2,1,1,1,1395538
1,8,2,2,1,1,1,3,1,2,2,1,1414039
2,4,3,2,1,1,1,2,2,1,1,1,1378492
2,2,3,2,1,1,1,2,1,2,2,1,1340470
1,4,3,2,1,2,1,3,3,3,3,1,46994188
2,2,2,2,1,2,1,2,1,2,1,1,1405777
1,8,3,1,1,1,1,2,2,2,1,1,1327876
1,8,2,1,1,1,1,2,1,1,1,1,1387699
2,2,3,2,1,1,1,2,2,2,1,1,16861438468
1,4,3,2,1,1,1,2,3,3,3,1,1333804
1,8,1,1,1,1,1,2,3,2,2,1,1318939
2,2,3,2,1,1,1,2,1,1,1,1,1471996
1,2,2,2,1,1,1,3,3,3,3,1,46992796
1,4,3,2,1,1,1,2,2,2,1,1,16861544068
2,2,1,2,1,1,1,2,1,2,2,1,1336606
1,8,3,2,1,1,1,2,2,2,2,1,16855332868
1,2,1,2,1,1,1,2,3,2,2,1,1423015
1,4,2,2,1,1,1,2,1,1,1,1,1335466
1,8,1,1,1,1,1,3,1,2,2,1,1390849
1,4,2,1,1,1,1,2,3,2,2,1,1360216
1,2,2,2,1,1,1,3,1,3,2,1,1326085
2,2,3,2,1,1,1,2,1,2,1,1,1373323
1,4,3,2,1,1,1,2,3,2,2,1,1367932
1,8,2,1,1,1,1,2,3,2,2,1,1355488
2,2,1,2,1,2,1,2,1,1,2,1,1472326
1,2,3,2,1,2,1,3,3,3,3,1,1489363
1,4,1,2,1,1,1,3,1,2,2,1,1382971
2,2,1,2,1,2,1,2,2,1,1,1,1426198
1,3,3,2,1,2,1,2,1,1,1,1,1327762
1,2,2,2,1,2,1,3,3,3,3,1,1387402
1,2,1,2,1,1,1,2,2,1,1,1,1507804
